Row Labels,Sum of ENTRANCES
/traffic/incidents.asp,354199061
/,36507557
/gis/propertylookup.asp,16308607
/directory.aspx,12370945
/dept/citycourt/warrants/,10398318
/civicalerts.aspx,8834646
/gis/propertydetail.asp,8359737
/faq.aspx,7008034
/1382/online-ticket-payments,5070353
/propertydetail.asp,4949831
Grand Total,464007089
