Row Labels,Sum of PAGE VIEWS
2014,3368774
2015,4153051
2016,4666427
2017,3626845
2018,4452550
2019,6805145
2020,7952853
2021,8140925
2022,11054269
2023,317930356
2024,621802547
Grand Total,993953742
